PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
[1787200053.434911] From 192.168.4.50 icmp_seq=844 Destination Host Unreachable
[1787200053.434993] From 192.168.4.50 icmp_seq=845 Destination Host Unreachable
[1787200053.435086] From 192.168.4.50 icmp_seq=846 Destination Host Unreachable
[1787200053.435178] From 192.168.4.50 icmp_seq=847 Destination Host Unreachable
[1787200053.435273] From 192.168.4.50 icmp_seq=848 Destination Host Unreachable
[1787200056.570090] From 192.168.4.50 icmp_seq=849 Destination Host Unreachable
[1787200056.570334] From 192.168.4.50 icmp_seq=850 Destination Host Unreachable
[1787200056.570553] From 192.168.4.50 icmp_seq=851 Destination Host Unreachable
[1787200056.570641] From 192.168.4.50 icmp_seq=852 Destination Host Unreachable
[1787200056.570710] From 192.168.4.50 icmp_seq=853 Destination Host Unreachable
[1787200056.570771] From 192.168.4.50 icmp_seq=854 Destination Host Unreachable
[1787200056.570835] From 192.168.4.50 icmp_seq=855 Destination Host Unreachable
[1787200056.570912] From 192.168.4.50 icmp_seq=856 Destination Host Unreachable
[1787200059.706144] From 192.168.4.50 icmp_seq=857 Destination Host Unreachable
[1787200059.706620] From 192.168.4.50 icmp_seq=858 Destination Host Unreachable
[1787200059.707021] From 192.168.4.50 icmp_seq=859 Destination Host Unreachable
[1787200059.707338] From 192.168.4.50 icmp_seq=860 Destination Host Unreachable
[1787200059.707417] From 192.168.4.50 icmp_seq=861 Destination Host Unreachable
[1787200059.707481] From 192.168.4.50 icmp_seq=862 Destination Host Unreachable
[1787200059.707536] From 192.168.4.50 icmp_seq=863 Destination Host Unreachable
[1787200059.707593] From 192.168.4.50 icmp_seq=864 Destination Host Unreachable
[1787200062.873958] From 192.168.4.50 icmp_seq=865 Destination Host Unreachable
[1787200062.874403] From 192.168.4.50 icmp_seq=866 Destination Host Unreachable
[1787200062.874523] From 192.168.4.50 icmp_seq=867 Destination Host Unreachable
[1787200062.874591] From 192.168.4.50 icmp_seq=868 Destination Host Unreachable
[1787200062.874649] From 192.168.4.50 icmp_seq=869 Destination Host Unreachable
[1787200062.874713] From 192.168.4.50 icmp_seq=870 Destination Host Unreachable
[1787200062.874770] From 192.168.4.50 icmp_seq=871 Destination Host Unreachable
[1787200062.874820] From 192.168.4.50 icmp_seq=872 Destination Host Unreachable
[1787200066.009913] From 192.168.4.50 icmp_seq=873 Destination Host Unreachable
[1787200066.010149] From 192.168.4.50 icmp_seq=874 Destination Host Unreachable
[1787200066.010240] From 192.168.4.50 icmp_seq=875 Destination Host Unreachable
[1787200066.010310] From 192.168.4.50 icmp_seq=876 Destination Host Unreachable
[1787200066.010380] From 192.168.4.50 icmp_seq=877 Destination Host Unreachable
[1787200066.010437] From 192.168.4.50 icmp_seq=878 Destination Host Unreachable
[1787200066.010549] From 192.168.4.50 icmp_seq=879 Destination Host Unreachable
[1787200066.010678] From 192.168.4.50 icmp_seq=880 Destination Host Unreachable
[1787200069.146042] From 192.168.4.50 icmp_seq=881 Destination Host Unreachable
[1787200069.146414] From 192.168.4.50 icmp_seq=882 Destination Host Unreachable
[1787200069.146565] From 192.168.4.50 icmp_seq=883 Destination Host Unreachable
[1787200069.146837] From 192.168.4.50 icmp_seq=884 Destination Host Unreachable
[1787200069.146936] From 192.168.4.50 icmp_seq=885 Destination Host Unreachable
[1787200069.147007] From 192.168.4.50 icmp_seq=886 Destination Host Unreachable
[1787200069.147082] From 192.168.4.50 icmp_seq=887 Destination Host Unreachable
[1787200069.147148] From 192.168.4.50 icmp_seq=888 Destination Host Unreachable
[1787200072.286035] From 192.168.4.50 icmp_seq=889 Destination Host Unreachable
[1787200072.286425] From 192.168.4.50 icmp_seq=890 Destination Host Unreachable
[1787200072.286913] From 192.168.4.50 icmp_seq=891 Destination Host Unreachable
[1787200072.287513] From 192.168.4.50 icmp_seq=892 Destination Host Unreachable
[1787200072.287599] From 192.168.4.50 icmp_seq=893 Destination Host Unreachable
[1787200072.287708] From 192.168.4.50 icmp_seq=894 Destination Host Unreachable
[1787200072.287772] From 192.168.4.50 icmp_seq=895 Destination Host Unreachable
[1787200072.287835] From 192.168.4.50 icmp_seq=896 Destination Host Unreachable
[1787200075.417971] From 192.168.4.50 icmp_seq=897 Destination Host Unreachable
[1787200075.418350] From 192.168.4.50 icmp_seq=898 Destination Host Unreachable
[1787200075.418740] From 192.168.4.50 icmp_seq=899 Destination Host Unreachable
[1787200075.419126] From 192.168.4.50 icmp_seq=900 Destination Host Unreachable
[1787200075.419197] From 192.168.4.50 icmp_seq=901 Destination Host Unreachable
[1787200075.419254] From 192.168.4.50 icmp_seq=902 Destination Host Unreachable
[1787200075.419309] From 192.168.4.50 icmp_seq=903 Destination Host Unreachable
[1787200075.419366] From 192.168.4.50 icmp_seq=904 Destination Host Unreachable
[1787200078.553869] From 192.168.4.50 icmp_seq=905 Destination Host Unreachable
[1787200078.553983] From 192.168.4.50 icmp_seq=906 Destination Host Unreachable
[1787200078.554072] From 192.168.4.50 icmp_seq=907 Destination Host Unreachable
[1787200078.554137] From 192.168.4.50 icmp_seq=908 Destination Host Unreachable
[1787200078.554198] From 192.168.4.50 icmp_seq=909 Destination Host Unreachable
[1787200078.554255] From 192.168.4.50 icmp_seq=910 Destination Host Unreachable
[1787200078.554313] From 192.168.4.50 icmp_seq=911 Destination Host Unreachable
[1787200078.554374] From 192.168.4.50 icmp_seq=912 Destination Host Unreachable
[1787200081.690077] From 192.168.4.50 icmp_seq=913 Destination Host Unreachable
[1787200081.690426] From 192.168.4.50 icmp_seq=914 Destination Host Unreachable
[1787200081.690790] From 192.168.4.50 icmp_seq=915 Destination Host Unreachable
[1787200081.691072] From 192.168.4.50 icmp_seq=916 Destination Host Unreachable
[1787200081.691237] From 192.168.4.50 icmp_seq=917 Destination Host Unreachable
[1787200081.691300] From 192.168.4.50 icmp_seq=918 Destination Host Unreachable
[1787200081.691375] From 192.168.4.50 icmp_seq=919 Destination Host Unreachable
[1787200081.691430] From 192.168.4.50 icmp_seq=920 Destination Host Unreachable
[1787200084.825926] From 192.168.4.50 icmp_seq=921 Destination Host Unreachable
[1787200084.826138] From 192.168.4.50 icmp_seq=922 Destination Host Unreachable
[1787200084.826567] From 192.168.4.50 icmp_seq=923 Destination Host Unreachable
[1787200084.826866] From 192.168.4.50 icmp_seq=924 Destination Host Unreachable
[1787200084.826980] From 192.168.4.50 icmp_seq=925 Destination Host Unreachable
[1787200084.827079] From 192.168.4.50 icmp_seq=926 Destination Host Unreachable
[1787200084.827185] From 192.168.4.50 icmp_seq=927 Destination Host Unreachable
[1787200084.827253] From 192.168.4.50 icmp_seq=928 Destination Host Unreachable
[1787200087.994021] From 192.168.4.50 icmp_seq=929 Destination Host Unreachable
[1787200087.994223] From 192.168.4.50 icmp_seq=930 Destination Host Unreachable
[1787200087.994300] From 192.168.4.50 icmp_seq=931 Destination Host Unreachable
[1787200087.994367] From 192.168.4.50 icmp_seq=932 Destination Host Unreachable
[1787200087.994432] From 192.168.4.50 icmp_seq=933 Destination Host Unreachable
[1787200087.994493] From 192.168.4.50 icmp_seq=934 Destination Host Unreachable
[1787200087.994551] From 192.168.4.50 icmp_seq=935 Destination Host Unreachable
[1787200087.994607] From 192.168.4.50 icmp_seq=936 Destination Host Unreachable
[1787200091.134065] From 192.168.4.50 icmp_seq=937 Destination Host Unreachable
[1787200091.134498] From 192.168.4.50 icmp_seq=938 Destination Host Unreachable
[1787200091.134863] From 192.168.4.50 icmp_seq=939 Destination Host Unreachable
[1787200091.135185] From 192.168.4.50 icmp_seq=940 Destination Host Unreachable
[1787200091.135257] From 192.168.4.50 icmp_seq=941 Destination Host Unreachable
[1787200091.135309] From 192.168.4.50 icmp_seq=942 Destination Host Unreachable
[1787200091.135360] From 192.168.4.50 icmp_seq=943 Destination Host Unreachable
[1787200091.135411] From 192.168.4.50 icmp_seq=944 Destination Host Unreachable
[1787200094.266034] From 192.168.4.50 icmp_seq=945 Destination Host Unreachable
[1787200094.266458] From 192.168.4.50 icmp_seq=946 Destination Host Unreachable
[1787200094.266848] From 192.168.4.50 icmp_seq=947 Destination Host Unreachable
[1787200094.267245] From 192.168.4.50 icmp_seq=948 Destination Host Unreachable
[1787200094.267329] From 192.168.4.50 icmp_seq=949 Destination Host Unreachable
[1787200094.267388] From 192.168.4.50 icmp_seq=950 Destination Host Unreachable
[1787200094.267545] From 192.168.4.50 icmp_seq=951 Destination Host Unreachable
[1787200094.267599] From 192.168.4.50 icmp_seq=952 Destination Host Unreachable
[1787200097.402028] From 192.168.4.50 icmp_seq=953 Destination Host Unreachable
[1787200097.402178] From 192.168.4.50 icmp_seq=954 Destination Host Unreachable
[1787200097.402257] From 192.168.4.50 icmp_seq=955 Destination Host Unreachable
[1787200097.402325] From 192.168.4.50 icmp_seq=956 Destination Host Unreachable
[1787200097.402388] From 192.168.4.50 icmp_seq=957 Destination Host Unreachable
[1787200097.402447] From 192.168.4.50 icmp_seq=958 Destination Host Unreachable
[1787200097.402504] From 192.168.4.50 icmp_seq=959 Destination Host Unreachable
[1787200097.402560] From 192.168.4.50 icmp_seq=960 Destination Host Unreachable
[1787200100.538019] From 192.168.4.50 icmp_seq=961 Destination Host Unreachable
[1787200100.538310] From 192.168.4.50 icmp_seq=962 Destination Host Unreachable
[1787200100.538626] From 192.168.4.50 icmp_seq=963 Destination Host Unreachable
[1787200100.538988] From 192.168.4.50 icmp_seq=964 Destination Host Unreachable
[1787200100.539201] From 192.168.4.50 icmp_seq=965 Destination Host Unreachable
[1787200100.539271] From 192.168.4.50 icmp_seq=966 Destination Host Unreachable
[1787200100.539366] From 192.168.4.50 icmp_seq=967 Destination Host Unreachable
[1787200100.539423] From 192.168.4.50 icmp_seq=968 Destination Host Unreachable
[1787200103.677944] From 192.168.4.50 icmp_seq=969 Destination Host Unreachable
[1787200103.678234] From 192.168.4.50 icmp_seq=970 Destination Host Unreachable
[1787200103.678506] From 192.168.4.50 icmp_seq=971 Destination Host Unreachable
[1787200103.678613] From 192.168.4.50 icmp_seq=972 Destination Host Unreachable
[1787200103.678690] From 192.168.4.50 icmp_seq=973 Destination Host Unreachable
[1787200103.678762] From 192.168.4.50 icmp_seq=974 Destination Host Unreachable
[1787200103.678817] From 192.168.4.50 icmp_seq=975 Destination Host Unreachable
[1787200103.678867] From 192.168.4.50 icmp_seq=976 Destination Host Unreachable
[1787200106.814033] From 192.168.4.50 icmp_seq=977 Destination Host Unreachable
[1787200106.814453] From 192.168.4.50 icmp_seq=978 Destination Host Unreachable
[1787200106.814829] From 192.168.4.50 icmp_seq=979 Destination Host Unreachable
[1787200106.815187] From 192.168.4.50 icmp_seq=980 Destination Host Unreachable
[1787200106.815259] From 192.168.4.50 icmp_seq=981 Destination Host Unreachable
[1787200106.815315] From 192.168.4.50 icmp_seq=982 Destination Host Unreachable
[1787200106.815368] From 192.168.4.50 icmp_seq=983 Destination Host Unreachable
[1787200106.815417] From 192.168.4.50 icmp_seq=984 Destination Host Unreachable
[1787200109.950097] From 192.168.4.50 icmp_seq=985 Destination Host Unreachable
[1787200109.950571] From 192.168.4.50 icmp_seq=986 Destination Host Unreachable
[1787200109.950927] From 192.168.4.50 icmp_seq=987 Destination Host Unreachable
[1787200109.951308] From 192.168.4.50 icmp_seq=988 Destination Host Unreachable
[1787200109.951406] From 192.168.4.50 icmp_seq=989 Destination Host Unreachable
[1787200109.951470] From 192.168.4.50 icmp_seq=990 Destination Host Unreachable
[1787200109.951532] From 192.168.4.50 icmp_seq=991 Destination Host Unreachable
[1787200109.951593] From 192.168.4.50 icmp_seq=992 Destination Host Unreachable
[1787200113.085892] From 192.168.4.50 icmp_seq=993 Destination Host Unreachable
[1787200113.086356] From 192.168.4.50 icmp_seq=994 Destination Host Unreachable
[1787200113.086643] From 192.168.4.50 icmp_seq=995 Destination Host Unreachable
[1787200113.086962] From 192.168.4.50 icmp_seq=996 Destination Host Unreachable
[1787200113.087064] From 192.168.4.50 icmp_seq=997 Destination Host Unreachable
[1787200113.087143] From 192.168.4.50 icmp_seq=998 Destination Host Unreachable
[1787200113.087205] From 192.168.4.50 icmp_seq=999 Destination Host Unreachable
[1787200113.087258] From 192.168.4.50 icmp_seq=1000 Destination Host Unreachable
[1787200116.253990] From 192.168.4.50 icmp_seq=1001 Destination Host Unreachable
[1787200116.254183] From 192.168.4.50 icmp_seq=1002 Destination Host Unreachable
[1787200116.254489] From 192.168.4.50 icmp_seq=1003 Destination Host Unreachable
[1787200116.254658] From 192.168.4.50 icmp_seq=1004 Destination Host Unreachable
[1787200116.254727] From 192.168.4.50 icmp_seq=1005 Destination Host Unreachable
[1787200116.254795] From 192.168.4.50 icmp_seq=1006 Destination Host Unreachable
[1787200116.254853] From 192.168.4.50 icmp_seq=1007 Destination Host Unreachable
[1787200116.254906] From 192.168.4.50 icmp_seq=1008 Destination Host Unreachable
[1787200119.386060] From 192.168.4.50 icmp_seq=1009 Destination Host Unreachable
[1787200119.386468] From 192.168.4.50 icmp_seq=1010 Destination Host Unreachable
[1787200119.386836] From 192.168.4.50 icmp_seq=1011 Destination Host Unreachable
[1787200119.386998] From 192.168.4.50 icmp_seq=1012 Destination Host Unreachable
[1787200119.387090] From 192.168.4.50 icmp_seq=1013 Destination Host Unreachable
[1787200119.387143] From 192.168.4.50 icmp_seq=1014 Destination Host Unreachable
[1787200119.387195] From 192.168.4.50 icmp_seq=1015 Destination Host Unreachable
[1787200119.387244] From 192.168.4.50 icmp_seq=1016 Destination Host Unreachable
[1787200122.522105] From 192.168.4.50 icmp_seq=1017 Destination Host Unreachable
[1787200122.522307] From 192.168.4.50 icmp_seq=1018 Destination Host Unreachable
[1787200122.522382] From 192.168.4.50 icmp_seq=1019 Destination Host Unreachable
[1787200122.522447] From 192.168.4.50 icmp_seq=1020 Destination Host Unreachable
[1787200122.522509] From 192.168.4.50 icmp_seq=1021 Destination Host Unreachable
[1787200122.522564] From 192.168.4.50 icmp_seq=1022 Destination Host Unreachable
[1787200122.522624] From 192.168.4.50 icmp_seq=1023 Destination Host Unreachable
[1787200122.522679] From 192.168.4.50 icmp_seq=1024 Destination Host Unreachable
[1787200125.658068] From 192.168.4.50 icmp_seq=1025 Destination Host Unreachable
[1787200125.658348] From 192.168.4.50 icmp_seq=1026 Destination Host Unreachable
[1787200125.658628] From 192.168.4.50 icmp_seq=1027 Destination Host Unreachable
[1787200125.658807] From 192.168.4.50 icmp_seq=1028 Destination Host Unreachable
[1787200125.658897] From 192.168.4.50 icmp_seq=1029 Destination Host Unreachable
[1787200125.658980] From 192.168.4.50 icmp_seq=1030 Destination Host Unreachable
[1787200125.659045] From 192.168.4.50 icmp_seq=1031 Destination Host Unreachable
[1787200125.659102] From 192.168.4.50 icmp_seq=1032 Destination Host Unreachable
[1787200128.793948] From 192.168.4.50 icmp_seq=1033 Destination Host Unreachable
[1787200128.794204] From 192.168.4.50 icmp_seq=1034 Destination Host Unreachable
[1787200128.794457] From 192.168.4.50 icmp_seq=1035 Destination Host Unreachable
[1787200128.794662] From 192.168.4.50 icmp_seq=1036 Destination Host Unreachable
[1787200128.794749] From 192.168.4.50 icmp_seq=1037 Destination Host Unreachable
[1787200128.794768] From 192.168.4.50 icmp_seq=1038 Destination Host Unreachable
[1787200128.794786] From 192.168.4.50 icmp_seq=1039 Destination Host Unreachable
[1787200128.794804] From 192.168.4.50 icmp_seq=1040 Destination Host Unreachable
[1787200131.929907] From 192.168.4.50 icmp_seq=1041 Destination Host Unreachable
[1787200131.930414] From 192.168.4.50 icmp_seq=1042 Destination Host Unreachable
[1787200131.930715] From 192.168.4.50 icmp_seq=1043 Destination Host Unreachable
[1787200131.930916] From 192.168.4.50 icmp_seq=1044 Destination Host Unreachable
[1787200131.930984] From 192.168.4.50 icmp_seq=1045 Destination Host Unreachable
[1787200131.931038] From 192.168.4.50 icmp_seq=1046 Destination Host Unreachable
[1787200131.931090] From 192.168.4.50 icmp_seq=1047 Destination Host Unreachable
[1787200131.931143] From 192.168.4.50 icmp_seq=1048 Destination Host Unreachable
[1787200135.066135] From 192.168.4.50 icmp_seq=1049 Destination Host Unreachable
[1787200135.066550] From 192.168.4.50 icmp_seq=1050 Destination Host Unreachable
[1787200135.066797] From 192.168.4.50 icmp_seq=1051 Destination Host Unreachable
[1787200135.067098] From 192.168.4.50 icmp_seq=1052 Destination Host Unreachable
[1787200135.067346] From 192.168.4.50 icmp_seq=1053 Destination Host Unreachable
[1787200135.067420] From 192.168.4.50 icmp_seq=1054 Destination Host Unreachable
[1787200135.067492] From 192.168.4.50 icmp_seq=1055 Destination Host Unreachable
[1787200135.067549] From 192.168.4.50 icmp_seq=1056 Destination Host Unreachable
[1787200138.202063] From 192.168.4.50 icmp_seq=1057 Destination Host Unreachable
[1787200138.202448] From 192.168.4.50 icmp_seq=1058 Destination Host Unreachable
[1787200138.202687] From 192.168.4.50 icmp_seq=1059 Destination Host Unreachable
[1787200138.202847] From 192.168.4.50 icmp_seq=1060 Destination Host Unreachable
[1787200138.202943] From 192.168.4.50 icmp_seq=1061 Destination Host Unreachable
[1787200138.203015] From 192.168.4.50 icmp_seq=1062 Destination Host Unreachable
[1787200138.203087] From 192.168.4.50 icmp_seq=1063 Destination Host Unreachable
[1787200138.203151] From 192.168.4.50 icmp_seq=1064 Destination Host Unreachable
[1787200141.338108] From 192.168.4.50 icmp_seq=1065 Destination Host Unreachable
[1787200141.338526] From 192.168.4.50 icmp_seq=1066 Destination Host Unreachable
[1787200141.338775] From 192.168.4.50 icmp_seq=1067 Destination Host Unreachable
[1787200141.339002] From 192.168.4.50 icmp_seq=1068 Destination Host Unreachable
[1787200141.339068] From 192.168.4.50 icmp_seq=1069 Destination Host Unreachable
[1787200141.339132] From 192.168.4.50 icmp_seq=1070 Destination Host Unreachable
[1787200141.339196] From 192.168.4.50 icmp_seq=1071 Destination Host Unreachable
[1787200141.339259] From 192.168.4.50 icmp_seq=1072 Destination Host Unreachable
[1787200144.473993] From 192.168.4.50 icmp_seq=1073 Destination Host Unreachable
[1787200144.474177] From 192.168.4.50 icmp_seq=1074 Destination Host Unreachable
[1787200144.474346] From 192.168.4.50 icmp_seq=1075 Destination Host Unreachable
[1787200144.474508] From 192.168.4.50 icmp_seq=1076 Destination Host Unreachable
[1787200144.474599] From 192.168.4.50 icmp_seq=1077 Destination Host Unreachable
[1787200144.474655] From 192.168.4.50 icmp_seq=1078 Destination Host Unreachable
[1787200144.474714] From 192.168.4.50 icmp_seq=1079 Destination Host Unreachable
[1787200144.474766] From 192.168.4.50 icmp_seq=1080 Destination Host Unreachable
[1787200147.646088] From 192.168.4.50 icmp_seq=1081 Destination Host Unreachable
[1787200147.646542] From 192.168.4.50 icmp_seq=1082 Destination Host Unreachable
[1787200147.646757] From 192.168.4.50 icmp_seq=1083 Destination Host Unreachable
[1787200147.647032] From 192.168.4.50 icmp_seq=1084 Destination Host Unreachable
[1787200147.647168] From 192.168.4.50 icmp_seq=1085 Destination Host Unreachable
[1787200147.647225] From 192.168.4.50 icmp_seq=1086 Destination Host Unreachable
[1787200147.647301] From 192.168.4.50 icmp_seq=1087 Destination Host Unreachable
[1787200147.647357] From 192.168.4.50 icmp_seq=1088 Destination Host Unreachable
[1787200150.777886] From 192.168.4.50 icmp_seq=1089 Destination Host Unreachable
[1787200150.778258] From 192.168.4.50 icmp_seq=1090 Destination Host Unreachable
[1787200150.778520] From 192.168.4.50 icmp_seq=1091 Destination Host Unreachable
[1787200150.778625] From 192.168.4.50 icmp_seq=1092 Destination Host Unreachable
[1787200150.778702] From 192.168.4.50 icmp_seq=1093 Destination Host Unreachable
[1787200150.778783] From 192.168.4.50 icmp_seq=1094 Destination Host Unreachable
[1787200150.778872] From 192.168.4.50 icmp_seq=1095 Destination Host Unreachable
[1787200150.778926] From 192.168.4.50 icmp_seq=1096 Destination Host Unreachable
[1787200153.917988] From 192.168.4.50 icmp_seq=1097 Destination Host Unreachable
[1787200153.918469] From 192.168.4.50 icmp_seq=1098 Destination Host Unreachable
[1787200153.918875] From 192.168.4.50 icmp_seq=1099 Destination Host Unreachable
[1787200153.919269] From 192.168.4.50 icmp_seq=1100 Destination Host Unreachable
[1787200153.919431] From 192.168.4.50 icmp_seq=1101 Destination Host Unreachable
[1787200153.919493] From 192.168.4.50 icmp_seq=1102 Destination Host Unreachable
[1787200153.919558] From 192.168.4.50 icmp_seq=1103 Destination Host Unreachable
[1787200153.919709] From 192.168.4.50 icmp_seq=1104 Destination Host Unreachable
[1787200157.049973] From 192.168.4.50 icmp_seq=1105 Destination Host Unreachable
[1787200157.050420] From 192.168.4.50 icmp_seq=1106 Destination Host Unreachable
[1787200157.050737] From 192.168.4.50 icmp_seq=1107 Destination Host Unreachable
[1787200157.050972] From 192.168.4.50 icmp_seq=1108 Destination Host Unreachable
[1787200157.051232] From 192.168.4.50 icmp_seq=1109 Destination Host Unreachable
[1787200157.051331] From 192.168.4.50 icmp_seq=1110 Destination Host Unreachable
[1787200157.051418] From 192.168.4.50 icmp_seq=1111 Destination Host Unreachable
[1787200157.051487] From 192.168.4.50 icmp_seq=1112 Destination Host Unreachable
[1787200160.186063] From 192.168.4.50 icmp_seq=1113 Destination Host Unreachable
[1787200160.186413] From 192.168.4.50 icmp_seq=1114 Destination Host Unreachable
[1787200160.186670] From 192.168.4.50 icmp_seq=1115 Destination Host Unreachable
[1787200160.186738] From 192.168.4.50 icmp_seq=1116 Destination Host Unreachable
[1787200160.186801] From 192.168.4.50 icmp_seq=1117 Destination Host Unreachable
[1787200160.186859] From 192.168.4.50 icmp_seq=1118 Destination Host Unreachable
[1787200160.186908] From 192.168.4.50 icmp_seq=1119 Destination Host Unreachable
[1787200160.186955] From 192.168.4.50 icmp_seq=1120 Destination Host Unreachable
[1787200163.322033] From 192.168.4.50 icmp_seq=1121 Destination Host Unreachable
[1787200163.322441] From 192.168.4.50 icmp_seq=1122 Destination Host Unreachable
[1787200163.322690] From 192.168.4.50 icmp_seq=1123 Destination Host Unreachable
[1787200163.322954] From 192.168.4.50 icmp_seq=1124 Destination Host Unreachable
[1787200163.323052] From 192.168.4.50 icmp_seq=1125 Destination Host Unreachable
[1787200163.323138] From 192.168.4.50 icmp_seq=1126 Destination Host Unreachable
[1787200163.323197] From 192.168.4.50 icmp_seq=1127 Destination Host Unreachable
[1787200163.323261] From 192.168.4.50 icmp_seq=1128 Destination Host Unreachable
[1787200166.458089] From 192.168.4.50 icmp_seq=1129 Destination Host Unreachable
[1787200166.458523] From 192.168.4.50 icmp_seq=1130 Destination Host Unreachable
[1787200166.458787] From 192.168.4.50 icmp_seq=1131 Destination Host Unreachable
[1787200166.459116] From 192.168.4.50 icmp_seq=1132 Destination Host Unreachable
[1787200166.459209] From 192.168.4.50 icmp_seq=1133 Destination Host Unreachable
[1787200166.459286] From 192.168.4.50 icmp_seq=1134 Destination Host Unreachable
[1787200166.459360] From 192.168.4.50 icmp_seq=1135 Destination Host Unreachable
[1787200166.459428] From 192.168.4.50 icmp_seq=1136 Destination Host Unreachable
[1787200169.626126] From 192.168.4.50 icmp_seq=1137 Destination Host Unreachable
[1787200169.626626] From 192.168.4.50 icmp_seq=1138 Destination Host Unreachable
[1787200169.626952] From 192.168.4.50 icmp_seq=1139 Destination Host Unreachable
[1787200169.627239] From 192.168.4.50 icmp_seq=1140 Destination Host Unreachable
[1787200169.627439] From 192.168.4.50 icmp_seq=1141 Destination Host Unreachable
[1787200169.627518] From 192.168.4.50 icmp_seq=1142 Destination Host Unreachable
[1787200169.627580] From 192.168.4.50 icmp_seq=1143 Destination Host Unreachable
[1787200169.627643] From 192.168.4.50 icmp_seq=1144 Destination Host Unreachable
[1787200172.762005] From 192.168.4.50 icmp_seq=1145 Destination Host Unreachable
[1787200172.762369] From 192.168.4.50 icmp_seq=1146 Destination Host Unreachable
[1787200172.762603] From 192.168.4.50 icmp_seq=1147 Destination Host Unreachable
[1787200172.762833] From 192.168.4.50 icmp_seq=1148 Destination Host Unreachable
[1787200172.762992] From 192.168.4.50 icmp_seq=1149 Destination Host Unreachable
[1787200172.763052] From 192.168.4.50 icmp_seq=1150 Destination Host Unreachable
[1787200172.763108] From 192.168.4.50 icmp_seq=1151 Destination Host Unreachable
[1787200172.763169] From 192.168.4.50 icmp_seq=1152 Destination Host Unreachable
[1787200175.898081] From 192.168.4.50 icmp_seq=1153 Destination Host Unreachable
[1787200175.898657] From 192.168.4.50 icmp_seq=1154 Destination Host Unreachable
[1787200175.898824] From 192.168.4.50 icmp_seq=1155 Destination Host Unreachable
[1787200175.898880] From 192.168.4.50 icmp_seq=1156 Destination Host Unreachable
[1787200175.898940] From 192.168.4.50 icmp_seq=1157 Destination Host Unreachable
[1787200175.899012] From 192.168.4.50 icmp_seq=1158 Destination Host Unreachable
[1787200175.899069] From 192.168.4.50 icmp_seq=1159 Destination Host Unreachable
[1787200175.899119] From 192.168.4.50 icmp_seq=1160 Destination Host Unreachable
[1787200179.033890] From 192.168.4.50 icmp_seq=1161 Destination Host Unreachable
[1787200179.034076] From 192.168.4.50 icmp_seq=1162 Destination Host Unreachable
[1787200179.034104] From 192.168.4.50 icmp_seq=1163 Destination Host Unreachable
[1787200179.034127] From 192.168.4.50 icmp_seq=1164 Destination Host Unreachable
[1787200179.034147] From 192.168.4.50 icmp_seq=1165 Destination Host Unreachable
[1787200179.034415] From 192.168.4.50 icmp_seq=1166 Destination Host Unreachable
[1787200179.034458] From 192.168.4.50 icmp_seq=1167 Destination Host Unreachable
[1787200179.034491] From 192.168.4.50 icmp_seq=1168 Destination Host Unreachable
[1787200182.170099] From 192.168.4.50 icmp_seq=1169 Destination Host Unreachable
[1787200182.170470] From 192.168.4.50 icmp_seq=1170 Destination Host Unreachable
[1787200182.170735] From 192.168.4.50 icmp_seq=1171 Destination Host Unreachable
[1787200182.170990] From 192.168.4.50 icmp_seq=1172 Destination Host Unreachable
[1787200182.171087] From 192.168.4.50 icmp_seq=1173 Destination Host Unreachable
[1787200182.171193] From 192.168.4.50 icmp_seq=1174 Destination Host Unreachable
[1787200182.171261] From 192.168.4.50 icmp_seq=1175 Destination Host Unreachable
[1787200182.171339] From 192.168.4.50 icmp_seq=1176 Destination Host Unreachable
[1787200185.309948] From 192.168.4.50 icmp_seq=1177 Destination Host Unreachable
[1787200185.310121] From 192.168.4.50 icmp_seq=1178 Destination Host Unreachable
[1787200185.310226] From 192.168.4.50 icmp_seq=1179 Destination Host Unreachable
[1787200185.310311] From 192.168.4.50 icmp_seq=1180 Destination Host Unreachable
[1787200185.310383] From 192.168.4.50 icmp_seq=1181 Destination Host Unreachable
[1787200185.310456] From 192.168.4.50 icmp_seq=1182 Destination Host Unreachable
[1787200185.310541] From 192.168.4.50 icmp_seq=1183 Destination Host Unreachable
[1787200185.310609] From 192.168.4.50 icmp_seq=1184 Destination Host Unreachable
[1787200188.473985] From 192.168.4.50 icmp_seq=1185 Destination Host Unreachable
[1787200188.474298] From 192.168.4.50 icmp_seq=1186 Destination Host Unreachable
[1787200188.474498] From 192.168.4.50 icmp_seq=1187 Destination Host Unreachable
[1787200188.474620] From 192.168.4.50 icmp_seq=1188 Destination Host Unreachable
[1787200188.474690] From 192.168.4.50 icmp_seq=1189 Destination Host Unreachable
[1787200188.474754] From 192.168.4.50 icmp_seq=1190 Destination Host Unreachable
[1787200188.474832] From 192.168.4.50 icmp_seq=1191 Destination Host Unreachable
[1787200188.474880] From 192.168.4.50 icmp_seq=1192 Destination Host Unreachable
[1787200191.610033] From 192.168.4.50 icmp_seq=1193 Destination Host Unreachable
[1787200191.610271] From 192.168.4.50 icmp_seq=1194 Destination Host Unreachable
[1787200191.610344] From 192.168.4.50 icmp_seq=1195 Destination Host Unreachable
[1787200191.610404] From 192.168.4.50 icmp_seq=1196 Destination Host Unreachable
